PC1,PC2,PC3,PC4
-0.5960509848201161,-1.4000869372570113,0.32199962980020613,0.646080450827795
-0.7730600605675656,-1.3618250389857463,0.5001666840816806,0.19650533366339776
-1.7441772774073883,-1.4824101710139352,0.23998627962478408,-0.28646505974041175
0.9227840122948059,-1.1249927243952378,0.9783732140367876,0.6189481213791399
-0.8281647172993644,-1.3414488411707421,0.4209419421507679,-0.3682060707661743
-1.1415732548622333,-1.3879988525362985,0.5244619744421032,0.0575634420328506
1.2075536650158627,-1.452777877382787,-1.1990248299557802,0.4294990447550192
-1.3522448308423953,-1.7618316895267743,-1.4828465124398063,0.545732094201288
1.0640034709506945,-1.0786061682497297,0.8242692123017248,-0.045943428335877855
4.39379036253885,-0.49925488297505266,0.5133251056854085,-1.0296267834936905
-3.305027511806602,-1.4586906958518262,-1.2749642204968026,-0.08645065182495332
-1.04108847102813,-1.3376928431699915,-0.3463004766570377,0.01575623005856885
1.7343269111548147,-0.942691130664883,0.6945061125770885,-0.3316849933641579
3.6074619471154112,-0.522824759000086,1.7421580335902314,-0.22127311543812975
-1.2798880292847858,-1.4376194094470143,0.2606285628820094,-0.22055633209851644
-0.8804088866711198,-1.3851021172968367,-0.27990187289426405,-0.3094360691787051
-1.2008528567880485,-1.3975322698578878,0.27347217960933345,0.05079055407203821
-1.766647935222238,-1.5174395287155413,-0.5781393532702304,-1.380933684010423
0.40109958594606127,-1.1882656425238485,0.36297980309488465,0.42206570198065246
2.427823324718815,-1.0248380942921653,-1.0957745997377026,-1.8969643636737141
0.7661994297266016,-1.0589908189967032,0.7677693172551939,-0.009647092293654801
0.7489907963792303,-1.336240529894246,-1.0366710323737995,-0.7882879226207152
-1.1804018596011854,-1.277308342532149,0.27061598614398813,-0.7553575708860264
2.242945095007493,-0.9100435244073892,0.848638338771661,0.7032346516254735
-0.01652699221557409,-1.5127016080808393,-1.471620857550773,0.23721055141441713
-1.7292831124689316,-1.4134363593296428,-0.23232266631384746,-0.9464981380747216
-1.3944979334779186,-1.2712217208203034,0.28178585870984735,-0.7445119111810945
