ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,teff_gspphot
45.01127328187059,35.28108674900096,0.4739131116499014,0.04013869,8.321455185752257,-3.8292460168188702,15.598997,1.0016079,5330.6763
45.01901203616546,35.32583649069904,0.6269113709188487,0.03930799,1.443904740134132,-3.0488242947320208,15.455248,0.978919,5441.6567
45.20042886592011,35.37474890527536,0.8053635383769144,0.02109738,-2.779709925711561,2.045522537669977,13.581583,0.89147663,5943.3936
45.158525710883154,35.44262273570373,0.8841992935082118,0.08746579,6.858435805952844,-4.48394886585797,17.141878,1.3702507,4388.6855
44.89616927106035,35.36513599862468,0.79962729223558,0.028670456,-4.7657143900456695,-6.480975397291411,15.0892935,1.0432892,5382.4844
44.83998070992626,35.350618464294065,0.467661234979679,0.032998845,0.0279844633865468,0.8330344727333341,14.481323,1.1283741,5639.8857
44.85180675975541,35.38624864956944,3.114020591219397,0.03537642,24.11228896660463,-11.506075306413075,15.069083,1.7157545,4466.182
44.959177767753744,35.41049019633196,1.83002424859989,0.016780514,20.874360483372264,-5.338602354165648,12.736309,0.81174755,6026.416
45.0106134814069,35.4311586963643,1.4952348881576851,0.06565589,1.4630223927972668,-5.971839401574348,16.734463,1.7614698,4432.915
46.8886744048228,36.15171247943105,4.484572976599676,0.14596534,1.945767004317454,-14.33807026321918,17.894535,3.065071,3296.279
47.1077026322328,36.259681970268,1.003163872905001,0.042846397,2.9984017984630054,-4.832440552455328,12.372994,0.43597126,9005.851
45.74368518326453,35.67771020798376,0.570081477262223,0.03812451,2.0798083147171145,-15.675957673352595,15.144505,0.7909584,6105.2026
45.93037220053256,35.772502676751245,2.3031361313119807,0.13118891,2.3502539699686507,-3.675402982817239,15.709809,2.0245209,4408.629
46.01148094648611,35.99385908402472,2.237116487885199,0.18735436,-0.9517439026463428,-6.713083161728735,18.311459,2.5386448,3418.3972
45.22787929185222,35.45431345908371,0.4467669390880754,0.019340113,0.7530107967198436,2.2090215620323197,12.716219,1.3306017,5133.3267
45.62474630598096,35.6054495598916,0.65342139292081,0.02121029,3.7715821742104407,-5.824512361983958,12.575963,1.5365715,5150.379199999999
45.52646721515018,35.740373868249634,0.8264043894008841,0.02583391,2.3289178417792646,1.01844365244223,14.104728,0.8403673,5150.379199999999
45.26887106739986,35.633331925115435,1.8563281349295264,0.01523267,-9.028029505623934,-6.036103155288598,12.010221,0.9211445,5919.9316
45.25790356101882,35.74858645438768,1.138110818673722,0.05643693,8.07144718335428,-6.754680265166341,16.200207,1.2961397,4670.365
45.21634233178539,35.80104592795143,3.993770613251204,0.044170205,-3.6968969963480536,-33.65074823282976,15.6957855,2.2236252,3794.0598
45.36230154629521,35.77489217182319,1.5475177365184498,0.06472634,1.83543685307484,-3.7684515869918327,16.435648,1.5775976,4516.4736
45.30031080434514,35.75834835726153,3.373471156885472,0.032443102,7.060930374177065,-15.06810239200251,14.439688,1.5081558,4538.2954
45.276718634709695,35.84128883144888,1.393846067918975,0.025031725,-8.051743424429965,-2.873744769947476,14.380871,1.0343838,5769.44
45.23814162219175,35.91437726972731,1.2551868389273255,0.117920354,13.006326164656688,-7.730243458670436,17.11932,1.9979916,3607.0647
45.40364359447087,35.93637731499247,2.411836217774773,0.07606143,20.6117198131632,-10.668760965958214,12.81413,1.1248264,5221.7046
45.693437366555166,35.79113560266531,1.3754229337393855,0.020189462,-6.710881958085994,-2.766453334551798,12.599341,0.98716927,5979.3735
45.81251109353597,35.978656791114155,1.7670579030412197,0.020259859,-6.906291434557184,3.881097420104445,13.891239,1.0876265,5921.0044
45.89402317446509,36.00849854950099,2.456517293763834,0.02188273,13.127627629491734,-7.590898212298388,14.234335,1.2554674,5128.5776
45.97559379431219,35.98416019910523,0.4579961549927618,0.028079746,-2.12211339247436,0.6358959126924166,14.856416,1.2845087,5563.6177
45.98804783217562,36.02247317786126,1.7248268229226762,0.050739754,11.518793442605524,-40.023852506143406,16.255653,1.702138,4390.71
