PC1,PC2,PC3,PC4,hierarchical_cluster
-1.5923962281669335,2.2675837796444034,-0.8689217787759771,-0.2432305111484352,1
-2.0471121019443257,-1.2189084890716952,-0.4134029907794375,0.036467958432715,2
-0.2084197640854588,-0.8161659793849719,0.5842494753677691,-0.2496857691914794,2
-1.481190069406731,-0.848292648839381,0.1654129816174803,-0.1232226124122245,2
-1.577181562859879,-0.664375742999801,-0.0108978869800737,0.3554218772844158,2
-0.5717889040940232,2.57608255557132,-0.6740085200686862,0.1312550593935304,1
0.9548144362462928,-0.500251934534839,0.7580340945435372,0.6203634165238936,2
-0.8340065990395422,1.8580855080893728,0.1919363345172519,0.359620627147659,1
-0.3782055759824859,-1.169326807633536,0.278508662611786,0.3011331287264831,2
0.6806472922998619,2.455497274983853,-0.8490631805587535,0.6338157335463821,1
-0.5492685248985049,-0.405525654052502,0.4427525636214452,0.7140550218913126,2
1.165549112789181,2.7420148254224204,0.9104469464841888,0.4854151799159364,1
0.6343468899606437,-0.885264719870981,0.9924199452264796,0.4251281212318112,2
-0.710997636523012,-1.262745922956128,-0.8009202303719161,-1.2575925216780903,2
0.5180640614324161,-0.8004738038329191,0.1053639678565934,0.5583057946871984,2
-0.4964833892406187,-0.630526176744259,0.5086031123919474,-0.0150927729906585,2
-0.4182701030369488,-0.5046152158477196,0.9631762744532344,0.2727586525725247,2
0.8626188955967068,-0.5696053943237025,1.0589602095471895,-0.0378203121114864,2
4.0339981739360775,-0.5533949953535543,-1.0583142759469124,0.1439644910123264,0
-1.0311042554587606,-1.0413426925910758,0.6367209032090616,0.2988239960440556,2
-0.1187940815689403,-0.8662681630755493,0.3896533884582654,0.5555635544558845,2
-1.4255160152789577,-1.1031080882385071,-0.1478014325045209,-0.1975184594520959,2
-0.4924752668955511,-1.0210317204736714,0.3057538755042717,0.2016502590769122,2
-0.9390971098045864,-0.834889714807203,0.164387100489215,-0.2989728460685146,2
